"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","PORT DISTRICT 1 Commissioner District 1","Homer Montemayor"," ","633","54.1488","Port"
"Adams","PORT DISTRICT 1 Commissioner District 1","Owen Olsen"," ","535","45.7656","Port"
"Adams","PORT DISTRICT 1 Commissioner District 1","WRITE-IN"," ","1","0.0855","Port"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position 2","Riley Hille"," ","830","67.8105","Hospital"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position 2","Guillermo Mendez"," ","387","31.6176","Hospital"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position 2","WRITE-IN"," ","7","0.5719","Hospital"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position 3","John M. Kragt"," ","1049","97.1296","Hospital"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position 3","WRITE-IN"," ","31","2.8704","Hospital"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position 5 ","Matt Kubik"," ","1064","98.5185","Hospital"
"Adams","HOSPITAL DISTRICT 2 Commissioner Position 5 ","WRITE-IN"," ","16","1.4815","Hospital"
"Adams","HOSPITAL DISTRICT 3 Commissioner Position 3","Elaine Wade"," ","1005","99.8014","Hospital"
"Adams","HOSPITAL DISTRICT 3 Commissioner Position 3","WRITE-IN"," ","2","0.1986","Hospital"
"Adams","HOSPITAL DISTRICT 3 Commissioner Position 5","Sue Long-Hosek"," ","1041","99.522","Hospital"
"Adams","HOSPITAL DISTRICT 3 Commissioner Position 5","WRITE-IN"," ","5","0.478","Hospital"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51 Director, District 1, Position 1","Patricia Walker"," ","11","57.8947","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51 Director, District 1, Position 1","Ciera Valdez"," ","7","36.8421","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51 Director, District 1, Position 1","WRITE-IN"," ","1","5.2632","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51 Director, District 2, Position 2","Terry Utecht"," ","17","94.4444","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51 Director, District 2, Position 2","WRITE-IN"," ","1","5.5556","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51 Director, District 5, Position 5","Jon Fox"," ","16","94.1176","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51 Director, District 5, Position 5","WRITE-IN"," ","1","5.8824","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 2","Zach Schafer"," ","17","62.963","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 2","Ed Deife"," ","10","37.037","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 2","WRITE-IN"," ","0","0","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 3","Amanda Wallace"," ","0","0","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 3","Carmen Weishaar"," ","25","100","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 3","WRITE-IN"," ","0","0","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 4 AT-LARGE","Cory Kramer"," ","0","0","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 4 AT-LARGE","Chris Crossley"," ","27","100","School"
"Adams","ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 4 AT-LARGE","WRITE-IN"," ","0","0","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 1","Bridget Coon"," ","116","100","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 1","WRITE-IN"," ","0","0","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 2","Derrick Kehn"," ","110","100","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 2","WRITE-IN"," ","0","0","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 3","Alta Hunt"," ","110","100","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Director Position 3","WRITE-IN"," ","0","0","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Director Position 1","Whitney Kerr"," ","11","100","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Director Position 1","WRITE-IN"," ","0","0","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Director Position 3","Ellen Bachman"," ","13","100","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Director Position 3","WRITE-IN"," ","0","0","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Director Position 4","Chet Clinesmith"," ","13","100","School"
